"","Rec_area","Location","visit_date","Year","Month","Day","Ec_per100mL","Mc_ugL","month_day","sample_count"
"237","Annie Laurie Beach","annie laurie lake",2022-07-19,"2022",7,19,"5.27","0.099","07-19",8
"238","Sandy Beach","",2022-07-12,"2022",7,12,NA,"0.099","07-12",101
"239","Canora Beach","",2022-07-12,"2022",7,12,"7.29","0.099","07-12",101
"240","Bird's Point Beach","round lake",2022-08-09,"2022",8,9,"2.1","0.099","08-09",5
"241","West End Resort","",2022-08-09,"2022",8,9,"1.27","0.099","08-09",101
"242","Sunset Beach","crooked lake",2022-08-09,"2022",8,9,"482.19","0.099","08-09",12
"243","Sunset Beach","crooked lake",2022-08-15,"2022",8,15,"7.66","0.099","08-15",12
"244","Sunset Beach","crooked lake",2022-08-18,"2022",8,18,"131.19","0.099","08-18",12
"245","Last Mountain Regional Park Beach","last mountain lake",2022-06-28,"2022",6,28,"1.55","0.099","06-28",91
"246","Last Mountain Regional Park Beach","last mountain lake",2022-07-25,"2022",7,25,"35.8","0.099","07-25",91
"247","Camp Whitesand Beach","",2022-07-19,"2022",7,19,"0.43","0.099","07-19",101
"248","Leroy Leisureland Beach","",2022-07-11,"2022",7,11,"19.23","0.099","07-11",101
"249","Lovering Lake Beach","",2022-08-09,"2022",8,9,"24.67","0.099","08-09",101
"250","Lovering Lake Beach","",2022-08-15,"2022",8,15,"1.3",NA,"08-15",101
"251","Lovering Lake Beach","",2022-08-18,"2022",8,18,"5.98","0.099","08-18",101
"252","Aspen Grove Beach","blackstrap lake",2022-07-19,"2022",7,19,"0.32","1","07-19",12
"253","Kevin Misfeldt Beach","",2022-07-19,"2022",7,19,"0.25","0.099","07-19",101
"254","Thode Subdivision Beach","blackstrap lake",2022-07-19,"2022",7,19,"7.89","0.099","07-19",12
"255","Stoney Beach","humboldt lake",2022-07-18,"2022",7,18,"13.44","0.099","07-18",2
"256","Stoney Beach","humboldt lake",2022-08-15,"2022",8,15,"3.29","5","08-15",2
"257","Pike Lake Beach","pike lake",2022-08-30,"2022",8,30,"8.55","0.1","08-30",8
"258","Manitou Lake Main Beach","manitou lake",2022-07-14,"2022",7,14,"0.62","6214.2","07-14",2
"259","Manitou Lake Main Beach","manitou lake",2022-08-08,"2022",8,8,"740.14","90.7","08-08",2
"260","Regina Beach","last mountian lake",2022-06-23,"2022",6,23,"5.54","0.099","06-23",3
"261","Regina Beach","last mountian lake",2022-07-24,"2022",7,24,"5.17","0.099","07-24",3
"262","Regina Beach","last mountian lake",2022-08-10,"2022",8,10,"5.09","0.099","08-10",3
"263","Lumsden Beach","last mountain lake",2022-06-26,"2022",6,26,"9.2","0.099","06-26",91
"264","Lumsden Beach","last mountain lake",2022-07-18,"2022",7,18,"12.55","0.099","07-18",91
"265","Lumsden Beach","last mountain lake",2022-08-08,"2022",8,8,"35.88","0.099","08-08",91
"266","Sorenson Beach","last mountain lake",2022-06-26,"2022",6,26,"2.95","0.099","06-26",91
"267","Sorenson Beach","last mountain lake",2022-07-26,"2022",7,26,"30.01","0.099","07-26",91
"268","Sorenson Beach","last mountain lake",2022-08-29,"2022",8,29,"23.41","0.099","08-29",91
"269","Sun Dale Beach","last mountain lake",2022-06-28,"2022",6,28,"38.7","0.099","06-28",91
"270","Sun Dale Beach","last mountain lake",2022-07-27,"2022",7,27,"14.85","0.099","07-27",91
"271","Sun Dale Beach","last mountain lake",2022-08-04,"2022",8,4,"171.18",NA,"08-04",91
"272","Sun Dale Beach","last mountain lake",2022-08-09,"2022",8,9,"10.78","0.099","08-09",91
"273","Sun Dale Beach","last mountain lake",2022-08-10,"2022",8,10,"4.66","0.099","08-10",91
"274","Pelican Pointe","last mountain lake",2022-08-02,"2022",8,2,"12.88","0.099","08-02",91
"275","Etters Beach","",2022-08-02,"2022",8,2,"101.02","0.099","08-02",101
"276","Etters Beach","",2022-08-04,"2022",8,4,"17.87",NA,"08-04",101
"277","Cabri Regional Park","",2022-08-08,"2022",8,8,"1.05","0.099","08-08",101
"278","Boundary Dam Beach","",2022-09-01,"2022",9,1,"0.64","0.099","09-01",101
"279","Nickle Lake Regional Park","",2022-07-18,"2022",7,18,"8.6","0.099","07-18",101
